tau,tpr,fpr
0.37565336216516415,0.875,0.20539152759948653
0.3764026662828426,0.875,0.2060333761232349
0.3775623304309441,0.875,0.20667522464698332
0.3791763771988626,0.875,0.2073170731707317
0.37939735726366663,0.875,0.2079589216944801
0.38043263988448106,0.875,0.2086007702182285
0.3819843965501758,0.875,0.2092426187419769
0.3821391986650388,0.875,0.2098844672657253
0.3821590872128369,0.875,0.21052631578947367
0.3821709410105426,0.875,0.21116816431322208
0.3821718933049193,0.875,0.21181001283697048
0.38239298508042774,0.875,0.21245186136071886
0.3823938420463999,0.875,0.21309370988446727
0.383112785206822,0.875,0.21373555840821565
0.3833996610764334,0.875,0.21437740693196405
0.38443267847248125,0.875,0.21501925545571246
0.3852013782214317,0.875,0.21566110397946084
0.38527447774434925,0.875,0.21630295250320924
0.3859726120543562,0.875,0.21694480102695765
0.3878660801995687,0.875,0.21758664955070603
0.3888016057812449,0.875,0.21822849807445444
0.3890589564308163,0.875,0.21887034659820281
0.3898407010858326,0.875,0.21951219512195122
0.3900847819539874,0.875,0.22015404364569963
0.39048550691167455,0.875,0.220795892169448
0.3904996594369055,0.875,0.2214377406931964
0.3920236121891774,0.875,0.2220795892169448
0.3920329175432385,0.875,0.2227214377406932
0.392233379323421,0.875,0.2233632862644416
0.3936072018546921,0.875,0.22400513478818998
0.3936141071089551,0.875,0.2246469833119384
0.3950140744804756,0.875,0.22528883183568676
0.3955292324698388,0.875,0.22593068035943517
0.39598787722345524,0.875,0.22657252888318358
0.39733886101629406,0.875,0.22721437740693196
0.3979076890536877,0.875,0.22785622593068036
0.4001739698436576,0.875,0.22849807445442877
0.40270774407252147,0.875,0.22913992297817715
0.40305468397571703,0.875,0.22978177150192555
0.4035153022266931,0.875,0.23042362002567393
0.4040145039438593,0.875,0.23106546854942234
0.4060635106698266,0.875,0.23170731707317074
0.4069304645660319,0.875,0.23234916559691912
0.40785814466759,0.875,0.23299101412066753
0.40913706935231237,0.875,0.2336328626444159
0.4101499203458636,0.875,0.2342747111681643
0.4114487364716605,0.875,0.23491655969191272
0.4115088936536084,0.875,0.2355584082156611
0.41181384894438117,0.875,0.2362002567394095
0.4119921132930663,0.875,0.23684210526315788
0.41266460096069196,0.875,0.2374839537869063
0.4128426538785784,0.875,0.2381258023106547
0.41368431593578825,0.875,0.23876765083440307
0.4137902819499287,0.875,0.23940949935815148
0.41620714878309983,0.875,0.24005134788189988
0.4163263926874944,0.875,0.24069319640564826
0.41660851406058425,0.9,0.24069319640564826
0.41688349287034043,0.9,0.24133504492939667
0.4171560637338229,0.9,0.24197689345314505
